n,m,percentage,time,avgtime
5,,35,0.03700876235961914,0.0003700876235961914
15,,3,0.17503929138183594,0.0017503929138183594
25,,0,0.33507466316223145,0.0033507466316223143
35,,0,0.6101365089416504,0.006101365089416504
45,,0,0.9912450313568115,0.009912450313568116
55,,0,1.3933396339416504,0.013933396339416504
65,,0,2.0235068798065186,0.020235068798065185
75,,0,2.664113759994507,0.026641137599945068
85,,0,3.518867015838623,0.03518867015838623
95,,0,4.647110462188721,0.04647110462188721
105,,0,5.4723029136657715,0.05472302913665771
115,,0,6.921937465667725,0.06921937465667724
125,,0,7.581025838851929,0.07581025838851929
135,,0,9.95698857307434,0.09956988573074341
145,,0,11.271937608718872,0.11271937608718872
155,,0,12.569255828857422,0.12569255828857423
165,,0,13.404731273651123,0.13404731273651124
175,,0,16.658889532089233,0.16658889532089233
185,,0,18.690453052520752,0.18690453052520753
195,,0,18.990567684173584,0.18990567684173584
205,,0,19.871487855911255,0.19871487855911255
215,,0,23.987686157226562,0.23987686157226562
225,,0,27.811020374298096,0.27811020374298095
235,,0,28.995904207229614,0.28995904207229617
245,,0,25.43409752845764,0.25434097528457644
255,,0,33.674227237701416,0.33674227237701415
265,,0,37.49124050140381,0.3749124050140381
275,,0,41.55772852897644,0.4155772852897644
285,,0,43.14892840385437,0.4314892840385437
295,,0,43.48028087615967,0.43480280876159666
305,,0,41.42584228515625,0.4142584228515625
315,,0,37.74862837791443,0.3774862837791443
325,,0,38.30270600318909,0.38302706003189085
335,,0,43.45455884933472,0.4345455884933472
345,,0,46.09202790260315,0.4609202790260315
355,,0,46.68829703330994,0.4668829703330994
365,,0,49.76064896583557,0.4976064896583557
375,,0,54.800721168518066,0.5480072116851806
385,,0,57.29502320289612,0.5729502320289612
395,,0,57.66662073135376,0.5766662073135376
405,,0,61.47138237953186,0.6147138237953186
415,,0,64.71204113960266,0.6471204113960266
425,,0,67.5677170753479,0.675677170753479
435,,0,70.65810322761536,0.7065810322761535
445,,0,74.95376014709473,0.7495376014709473
455,,0,79.1660430431366,0.7916604304313659
465,,0,86.65538811683655,0.8665538811683655
475,,0,90.35021829605103,0.9035021829605102
485,,0,90.54364585876465,0.9054364585876464
495,,0,92.94244003295898,0.9294244003295898
505,,0,96.80239486694336,0.9680239486694336
515,,0,100.90003490447998,1.0090003490447998
525,,0,105.2395088672638,1.0523950886726379
535,,0,110.52540707588196,1.1052540707588197
545,,0,114.8119740486145,1.148119740486145
555,,0,119.80726265907288,1.1980726265907287
565,,0,124.49047327041626,1.2449047327041627
575,,0,127.66929864883423,1.2766929864883423
585,,0,132.59100317955017,1.3259100317955017
595,,0,137.2339870929718,1.372339870929718
605,,0,141.72058415412903,1.4172058415412903
615,,0,147.86091089248657,1.4786091089248656
625,,0,152.08191084861755,1.5208191084861755
635,,0,158.0074384212494,1.5800743842124938
645,,0,163.36638569831848,1.6336638569831847
655,,0,167.834951877594,1.6783495187759399
665,,0,173.83134770393372,1.7383134770393371
675,,0,179.7710039615631,1.7977100396156311
685,,0,187.38484621047974,1.8738484621047973
695,,0,194.96432662010193,1.9496432662010192
